'자전거번호','대여일시','대여대여소번호','대여거치대','반납일시','반납대여소번호','반납거치대','이용시간(분)','이용거리(M)'
'SPB-08187','2018-04-23 14:46:53','369',2,'2018-04-23 14:54:39','308',5,7,390
'SPB-12110','2018-04-23 14:49:16','2231',2,'2018-04-23 15:02:22','2210',3,11,1670
'SPB-03254','2018-04-23 14:49:32','573',8,'2018-04-23 14:55:22','505',1,5,1100
'SPB-09050','2018-04-23 14:55:51','1906',15,'2018-04-23 16:09:53','2107',16,69,6630
'SPB-09267','2018-04-23 14:59:01','114',14,'2018-04-23 15:09:13','153',2,9,1920
'SPB-07946','2018-04-23 14:59:06','243',3,'2018-04-23 15:27:37','152',12,26,59230
'SPB-06354','2018-04-23 15:05:10','703',11,'2018-04-23 15:14:25','263',5,8,2000
'SPB-12508','2018-04-23 15:06:40','1112',1,'2018-04-23 15:22:12','1117',1,14,2250
'SPB-10997','2018-04-23 15:13:35','103',1,'2018-04-23 15:24:20','109',2,10,1350
'SPB-12646','2018-04-23 15:24:46','951',14,'2018-04-23 15:32:32','931',9,7,1640
'SPB-07860','2018-04-23 15:29:53','1839',17,'2018-04-23 15:34:25','1814',8,4,930
'SPB-11037','2018-04-23 15:36:18','1152',6,'2018-04-23 15:43:45','1111',4,6,820
'SPB-11844','2018-04-23 15:37:09','1249',7,'2018-04-23 16:26:54','2324',3,48,1760
'SPB-10957','2018-04-23 15:39:44','1251',7,'2018-04-23 17:38:03','1251',2,109,5270
'SPB-06088','2018-04-23 15:39:50','103',12,'2018-04-23 15:50:13','112',3,9,1730
'SPB-10381','2018-04-23 15:44:51','820',2,'2018-04-23 15:47:40','820',2,2,150
'SPB-11792','2018-04-23 15:46:36','217',2,'2018-04-23 16:06:00','210',8,18,1480
'SPB-03788','2018-04-23 15:47:22','567',7,'2018-04-23 16:02:28','567',3,14,2350
'SPB-06126','2018-04-23 15:48:37','329',1,'2018-04-23 16:04:38','391',7,15,1940
'SPB-09455','2018-04-23 15:49:35','820',4,'2018-04-23 15:55:58','818',13,6,800
'SPB-04813','2018-04-23 15:58:08','945',7,'2018-04-23 16:07:59','905',11,9,1350
'SPB-10179','2018-04-23 16:02:33','569',1,'2018-04-23 16:15:05','525',2,11,1810
'SPB-10069','2018-04-23 16:03:15','742',9,'2018-04-23 16:53:00','1112',1,46,4710
'SPB-11961','2018-04-23 16:03:25','704',10,'2018-04-23 16:33:25','1834',9,28,42210
'SPB-05986','2018-04-23 16:03:32','522',5,'2018-04-23 16:09:12','534',12,5,910
'SPB-13122','2018-04-23 16:04:10','3505',4,'2018-04-23 16:52:21','3519',1,46,7740
'SPB-00568','2018-04-23 16:05:23','1271',13,'2018-04-23 16:25:48','1215',11,20,2660
'SPB-11162','2018-04-23 16:06:05','125',13,'2018-04-23 16:13:28','125',4,7,740
'SPB-06597','2018-04-23 16:06:36','579',6,'2018-04-23 16:16:23','538',9,9,1130
'SPB-07819','2018-04-23 16:07:38','1316',2,'2018-04-23 16:11:12','1358',4,3,700
'SPB-03547','2018-04-23 16:08:27','231',5,'2018-04-23 16:16:27','239',12,7,1450
'SPB-11695','2018-04-23 16:08:30','349',7,'2018-04-23 16:32:35','340',1,22,3710
'SPB-06732','2018-04-23 16:10:41','1209',4,'2018-04-23 16:26:27','1222',2,15,3170
'SPB-06719','2018-04-23 16:10:59','216',1,'2018-04-23 16:35:13','832',1,23,5830
'SPB-04417','2018-04-23 16:11:26','2255',7,'2018-04-23 17:01:37','2255',2,49,3540
'SPB-01570','2018-04-23 16:11:28','922',7,'2018-04-23 16:20:07','926',7,8,1130
'SPB-08090','2018-04-23 16:17:14','1985',17,'2018-04-23 16:54:49','1955',10,34,3590
'SPB-01240','2018-04-23 16:19:37','516',7,'2018-04-23 16:55:31','504',3,35,3410
'SPB-03681','2018-04-23 16:20:19','1123',6,'2018-04-23 16:25:30','1120',2,4,920
'SPB-11625','2018-04-23 16:21:20','3506',3,'2018-04-23 16:29:23','509',15,8,900
'SPB-02772','2018-04-23 16:21:29','409',4,'2018-04-23 16:32:14','418',1,10,1580
'SPB-01075','2018-04-23 16:22:44','3506',5,'2018-04-23 16:29:17','509',7,6,940
'SPB-04487','2018-04-23 16:24:01','3506',6,'2018-04-23 16:29:15','509',9,4,860
'SPB-11844','2018-04-23 16:27:11','2324',3,'2018-04-23 17:28:43','2333',10,59,4130
'SPB-00102','2018-04-23 16:30:39','723',5,'2018-04-23 16:37:24','719',8,6,1050
'SPB-07394','2018-04-23 16:31:31','2307',9,'2018-04-23 16:47:19','565',9,15,2850
'SPB-05109','2018-04-23 16:31:51','132',1,'2018-04-23 17:24:44','130',4,52,3960
'SPB-04898','2018-04-23 16:37:04','217',4,'2018-04-23 16:53:51','217',7,16,1070
'SPB-09050','2018-04-23 16:37:42','2107',16,'2018-04-23 17:10:29','1906',20,30,6350
'SPB-11618','2018-04-23 16:39:02','2273',7,'2018-04-23 18:00:23','2252',3,73,1720
'SPB-12560','2018-04-23 16:39:45','913',7,'2018-04-23 17:14:34','939',13,32,1740
'SPB-09808','2018-04-23 16:44:30','1340',5,'2018-04-23 16:48:24','1601',1,3,640
'SPB-10545','2018-04-23 16:45:54','591',3,'2018-04-23 16:55:43','591',3,9,940
'SPB-02917','2018-04-23 16:46:07','111',8,'2018-04-23 16:53:02','108',1,6,910
'SPB-08794','2018-04-23 16:46:59','831',10,'2018-04-23 17:05:41','828',2,17,2410
'SPB-08668','2018-04-23 16:50:19','2313',7,'2018-04-23 16:55:42','2312',7,5,690
'SPB-07679','2018-04-23 16:50:25','639',8,'2018-04-23 17:03:00','634',14,11,2080
'SPB-09625','2018-04-23 16:51:53','510',1,'2018-04-23 17:10:40','513',8,16,1300
'SPB-14178','2018-04-23 16:52:06','1278',5,'2018-04-23 17:20:01','1224',11,27,3900
'SPB-15028','2018-04-23 16:54:39','1215',15,'2018-04-23 17:04:13','1248',18,9,0
'SPB-05555','2018-04-23 16:55:35','1012',6,'2018-04-23 17:44:14','1028',1,48,2390
'SPB-05810','2018-04-23 16:56:10','451',11,'2018-04-23 17:01:47','315',2,5,1230
'SPB-04032','2018-04-23 16:58:40','1426',11,'2018-04-23 17:06:10','1426',11,7,810
'SPB-06080','2018-04-23 17:02:20','310',7,'2018-04-23 17:09:22','329',1,6,1170
'SPB-13090','2018-04-23 17:04:17','372',7,'2018-04-23 18:41:27','373',6,87,1170
'SPB-11135','2018-04-23 17:06:29','3507',3,'2018-04-23 17:19:59','551',5,12,1680
'SPB-10798','2018-04-23 17:06:32','639',14,'2018-04-23 17:14:42','639',14,8,1210
'SPB-06389','2018-04-23 17:13:54','2206',15,'2018-04-23 17:41:02','2206',17,26,2390
'SPB-06723','2018-04-23 17:14:05','205',10,'2018-04-23 17:39:29','235',1,24,3260
'SPB-10237','2018-04-23 17:15:13','921',10,'2018-04-23 17:22:32','905',1,7,580
'SPB-13117','2018-04-23 17:18:09','351',7,'2018-04-23 17:50:54','306',8,29,3420
'SPB-04998','2018-04-23 17:19:56','1271',15,'2018-04-23 17:26:58','1213',1,6,1400
'SPB-07893','2018-04-23 17:20:15','2309',9,'2018-04-23 17:27:00','2312',9,6,730
'SPB-03517','2018-04-23 17:20:33','634',6,'2018-04-23 17:32:25','1404',3,11,2280
'SPB-06687','2018-04-23 17:22:10','200',6,'2018-04-23 17:37:08','258',2,14,1970
'SPB-04951','2018-04-23 17:27:59','311',1,'2018-04-23 18:25:23','314',1,57,2780
'SPB-03357','2018-04-23 17:28:19','818',4,'2018-04-23 17:35:43','820',4,7,820
'SPB-12257','2018-04-23 17:28:55','2213',13,'2018-04-23 17:52:40','2025',14,22,3870
'SPB-11844','2018-04-23 17:28:58','2333',10,'2018-04-23 19:09:16','2327',5,97,1480
'SPB-09773','2018-04-23 17:29:15','1006',12,'2018-04-23 18:14:14','1006',15,42,70920
'SPB-03547','2018-04-23 17:30:00','239',12,'2018-04-23 17:39:43','240',9,9,1440
'SPB-10109','2018-04-23 17:34:09','594',12,'2018-04-23 17:38:20','526',9,4,610
'SPB-04374','2018-04-23 17:35:18','2347',2,'2018-04-23 18:08:12','2306',3,32,1620
'SPB-13174','2018-04-23 17:35:42','2020',4,'2018-04-23 18:34:10','2007',2,57,7580
'SPB-08821','2018-04-23 17:37:02','358',1,'2018-04-23 17:52:28','346',9,14,53270
'SPB-00102','2018-04-23 17:37:03','719',8,'2018-04-23 17:45:41','746',10,8,1740
'SPB-10521','2018-04-23 17:39:22','633',8,'2018-04-23 17:54:19','586',8,14,2610
'SPB-10957','2018-04-23 17:39:30','1251',2,'2018-04-23 17:57:20','1251',2,16,1150
'SPB-03369','2018-04-23 17:41:11','2172',16,'2018-04-23 17:46:40','2139',4,5,760
'SPB-12584','2018-04-23 17:43:07','267',6,'2018-04-23 18:16:58','184',9,33,5170
'SPB-11997','2018-04-23 17:43:28','900',17,'2018-04-23 17:50:17','907',1,6,1090
'SPB-02451','2018-04-23 17:45:26','156',4,'2018-04-23 17:54:57','144',8,9,970
'SPB-11621','2018-04-23 17:46:16','1404',1,'2018-04-23 18:01:23','634',1,14,2100
'SPB-04487','2018-04-23 17:46:49','509',9,'2018-04-23 17:53:23','3506',6,6,910
'SPB-00942','2018-04-23 17:47:16','509',12,'2018-04-23 17:53:11','3506',5,5,910
'SPB-11119','2018-04-23 17:47:36','1210',11,'2018-04-23 18:17:21','1248',4,29,3760
'SPB-10545','2018-04-23 17:48:04','591',3,'2018-04-23 17:50:36','3523',9,2,400
'SPB-00241','2018-04-23 17:48:11','573',5,'2018-04-23 17:51:31','3507',22,3,630
'SPB-11333','2018-04-23 17:50:56','1011',17,'2018-04-23 17:58:46','1050',6,7,1180
'SPB-10997','2018-04-23 17:51:20','109',2,'2018-04-23 18:18:27','109',2,26,2100
'SPB-02634','2018-04-23 17:53:32','506',4,'2018-04-23 18:05:37','511',1,11,1870
'SPB-07561','2018-04-23 17:55:28','583',17,'2018-04-23 19:08:12','539',2,70,4740
'SPB-07722','2018-04-23 17:55:40','202',15,'2018-04-23 18:37:14','2024',5,38,5430
'SPB-14878','2018-04-23 17:57:51','1243',17,'2018-04-23 18:41:25','2341',1,43,10120
'SPB-07826','2018-04-23 17:58:02','415',9,'2018-04-23 18:07:49','165',19,9,2030
'SPB-03365','2018-04-23 17:59:26','3516',4,'2018-04-23 18:15:35','571',1,15,2170
'SPB-09543','2018-04-23 17:59:40','339',1,'2018-04-23 18:08:54','339',9,8,1130
'SPB-08289','2018-04-23 18:01:06','262',12,'2018-04-23 18:53:45','262',12,49,2880
'SPB-12831','2018-04-23 18:01:59','1256',8,'2018-04-23 18:16:04','1241',5,13,1790
'SPB-10096','2018-04-23 18:02:15','594',10,'2018-04-23 18:07:09','529',4,4,530
'SPB-09964','2018-04-23 18:04:29','2323',1,'2018-04-23 18:09:28','2321',10,4,720
'SPB-07779','2018-04-23 18:06:44','508',2,'2018-04-23 19:21:36','1533',5,71,13690
'SPB-06088','2018-04-23 18:07:33','112',3,'2018-04-23 18:54:29','109',1,46,2340
'SPB-06764','2018-04-23 18:09:19','2317',10,'2018-04-23 18:27:15','1269',3,17,3570
'SPB-05617','2018-04-23 18:11:28','1351',5,'2018-04-23 18:16:02','1308',1,4,590
'SPB-12936','2018-04-23 18:12:16','409',10,'2018-04-23 18:22:54','421',1,10,2200
'SPB-05616','2018-04-23 18:12:38','716',1,'2018-04-23 18:51:51','1827',14,38,8460
'SPB-06112','2018-04-23 18:12:59','1834',1,'2018-04-23 18:26:31','1824',1,13,2410
'SPB-08389','2018-04-23 18:15:16','180',8,'2018-04-23 19:06:13','142',7,48,1250
'SPB-08821','2018-04-23 18:15:36','346',9,'2018-04-23 18:33:08','320',1,16,2710
'SPB-03120','2018-04-23 18:16:43','276',9,'2018-04-23 19:01:04','276',9,43,4330
'SPB-11119','2018-04-23 18:17:41','1248',4,'2018-04-23 18:58:36','1210',30,39,4950
'SPB-04445','2018-04-23 18:20:17','415',4,'2018-04-23 18:38:41','133',4,18,1640
'SPB-11226','2018-04-23 18:20:36','415',7,'2018-04-23 18:37:46','133',3,17,1630
'SPB-03547','2018-04-23 18:21:07','240',9,'2018-04-23 18:34:33','244',20,13,2010
'SPB-08431','2018-04-23 18:22:45','901',8,'2018-04-23 18:28:24','907',3,5,970
'SPB-04951','2018-04-23 18:25:38','314',1,'2018-04-23 20:09:15','311',1,103,2710
'SPB-11547','2018-04-23 18:26:25','2268',1,'2018-04-23 18:45:57','2244',19,18,3570
'SPB-06370','2018-04-23 18:29:57','1963',4,'2018-04-23 18:34:33','1840',13,4,680
'SPB-11647','2018-04-23 18:31:12','370',2,'2018-04-23 18:42:37','385',4,11,1500
'SPB-10302','2018-04-23 18:31:20','334',9,'2018-04-23 18:37:55','345',4,6,700
'SPB-06237','2018-04-23 18:31:35','633',4,'2018-04-23 18:43:33','630',2,11,1240
'SPB-12823','2018-04-23 18:32:18','260',1,'2018-04-23 18:56:38','243',1,24,3120
'SPB-13055','2018-04-23 18:34:16','409',16,'2018-04-23 18:42:04','413',3,7,1260
'SPB-15864','2018-04-23 18:34:24','344',7,'2018-04-23 19:32:43','316',12,57,4000
'SPB-09882','2018-04-23 18:34:38','311',17,'2018-04-23 18:50:48','301',12,15,1280
'SPB-04757','2018-04-23 18:35:15','369',18,'2018-04-23 18:40:15','302',1,4,540
'SPB-05380','2018-04-23 18:36:41','562',10,'2018-04-23 19:06:00','562',10,28,2160
'SPB-08782','2018-04-23 18:36:43','1102',5,'2018-04-23 18:44:03','1108',1,7,1200
'SPB-09697','2018-04-23 18:37:56','514',2,'2018-04-23 18:51:02','3504',3,12,1560
'SPB-09718','2018-04-23 18:38:23','1206',10,'2018-04-23 20:00:55','1221',4,78,51530
'SPB-13090','2018-04-23 18:42:57','373',6,'2018-04-23 20:45:26','347',1,112,2910
'SPB-12732','2018-04-23 18:45:32','2355',20,'2018-04-23 20:35:00','2302',5,102,9310
'SPB-09934','2018-04-23 18:46:07','152',4,'2018-04-23 18:57:27','421',5,10,54350
'SPB-04504','2018-04-23 18:49:21','636',3,'2018-04-23 18:54:47','640',1,5,1010
'SPB-04712','2018-04-23 18:54:28','637',10,'2018-04-23 19:03:17','1321',3,8,1080
'SPB-11119','2018-04-23 18:58:53','1210',30,'2018-04-23 19:25:22','1210',29,25,3100
'SPB-08821','2018-04-23 19:00:22','320',1,'2018-04-23 19:09:21','307',5,8,1450
'SPB-00107','2018-04-23 19:00:48','1912',10,'2018-04-23 19:29:57','1912',7,28,820
'SPB-12186','2018-04-23 19:01:04','115',1,'2018-04-23 19:08:30','3102',1,7,1160
'SPB-11812','2018-04-23 19:02:15','411',2,'2018-04-23 19:24:35','178',8,21,2700
'SPB-11109','2018-04-23 19:05:18','168',11,'2018-04-23 19:19:05','178',6,13,1350
'SPB-11249','2018-04-23 19:05:25','921',3,'2018-04-23 19:15:27','906',3,9,1390
'SPB-10922','2018-04-23 19:07:40','1682',1,'2018-04-23 19:19:10','1668',1,11,2140
'SPB-05811','2018-04-23 19:07:49','188',6,'2018-04-23 19:34:25','117',14,26,4140
'SPB-11789','2018-04-23 19:09:25','111',6,'2018-04-23 19:13:06','118',3,3,690
'SPB-06022','2018-04-23 19:09:44','1673',4,'2018-04-23 19:12:39','1653',9,2,460
'SPB-12478','2018-04-23 19:09:55','1158',5,'2018-04-23 19:20:08','1131',6,9,1660
'SPB-09838','2018-04-23 19:11:19','412',20,'2018-04-23 19:18:34','417',19,6,1160
'SPB-09463','2018-04-23 19:11:57','612',7,'2018-04-23 19:15:21','530',4,3,530
'SPB-11919','2018-04-23 19:13:48','228',3,'2018-04-23 19:19:58','227',6,5,810
'SPB-06564','2018-04-23 19:14:48','1901',3,'2018-04-23 19:23:43','1906',4,8,1300
'SPB-03620','2018-04-23 19:15:06','1535',7,'2018-04-23 19:18:37','1526',6,3,840
'SPB-05455','2018-04-23 19:15:23','184',1,'2018-04-23 19:34:13','175',6,18,3900
'SPB-11477','2018-04-23 19:15:26','1210',14,'2018-04-23 19:41:11','1203',20,23,3660
'SPB-10265','2018-04-23 19:19:21','229',19,'2018-04-23 20:19:09','703',12,56,8300
'SPB-08660','2018-04-23 19:19:45','525',3,'2018-04-23 19:36:11','537',1,15,1550
'SPB-09263','2018-04-23 19:23:47','2102',20,'2018-04-23 20:14:57','726',2,46,8520
'SPB-12660','2018-04-23 19:24:27','1501',8,'2018-04-23 21:23:54','1514',4,116,3110
'SPB-08630','2018-04-23 19:27:31','213',1,'2018-04-23 19:40:10','274',10,12,1260
'SPB-04193','2018-04-23 19:27:37','3507',4,'2018-04-23 19:30:54','573',10,2,620
'SPB-11155','2018-04-23 19:30:20','1912',6,'2018-04-23 20:25:40','2020',6,55,5590
'SPB-13103','2018-04-23 19:30:48','589',6,'2018-04-23 19:35:57','585',5,4,770
'SPB-12586','2018-04-23 19:32:46','206',17,'2018-04-23 19:43:42','216',10,10,1310
'SPB-15864','2018-04-23 19:33:00','316',12,'2018-04-23 19:51:01','344',7,17,3070
'SPB-03276','2018-04-23 19:34:22','583',10,'2018-04-23 19:47:41','538',10,12,1850
'SPB-13100','2018-04-23 19:35:37','1421',19,'2018-04-23 19:41:14','1436',9,5,1000
'SPB-07719','2018-04-23 19:35:49','1656',10,'2018-04-23 20:07:35','1620',1,31,1930
'SPB-07483','2018-04-23 19:37:58','3523',5,'2018-04-23 19:41:11','591',2,3,410
'SPB-06325','2018-04-23 19:38:21','1158',7,'2018-04-23 20:34:25','1124',10,55,2100
'SPB-10627','2018-04-23 19:38:33','1248',16,'2018-04-23 19:47:48','1215',5,8,1010
'SPB-01853','2018-04-23 19:40:25','590',7,'2018-04-23 19:46:16','3523',5,5,910
'SPB-03647','2018-04-23 19:41:06','609',18,'2018-04-23 19:50:55','1323',7,9,1670
'SPB-10458','2018-04-23 19:41:19','217',3,'2018-04-23 20:05:17','832',3,23,20620
'SPB-09651','2018-04-23 19:41:42','1510',9,'2018-04-23 20:06:10','1503',8,23,2190
'SPB-11153','2018-04-23 19:43:14','1535',9,'2018-04-23 19:49:31','1506',2,5,1270
'SPB-06202','2018-04-23 19:43:22','2369',10,'2018-04-23 20:31:52','3505',4,48,6750
'SPB-13083','2018-04-23 19:43:31','1510',1,'2018-04-23 20:06:19','1503',4,20,2660
'SPB-12519','2018-04-23 19:44:49','1610',2,'2018-04-23 20:10:40','1411',10,23,3820
'SPB-12382','2018-04-23 19:48:26','1128',7,'2018-04-23 19:59:19','713',1,10,1860
'SPB-05328','2018-04-23 19:50:04','1106',4,'2018-04-23 19:54:50','1149',3,4,830
'SPB-00824','2018-04-23 19:51:14','1706',5,'2018-04-23 19:59:24','1721',4,7,1670
'SPB-07943','2018-04-23 19:52:14','501',13,'2018-04-23 20:21:56','590',2,27,3120
'SPB-12237','2018-04-23 19:53:22','277',2,'2018-04-23 20:09:04','232',1,15,1850
'SPB-10865','2018-04-23 19:55:51','1660',4,'2018-04-23 20:20:01','1611',17,23,3090
'SPB-08310','2018-04-23 19:56:10','578',1,'2018-04-23 19:58:31','563',8,2,27940
'SPB-15654','2018-04-23 19:56:13','316',9,'2018-04-23 20:00:44','307',6,4,900
'SPB-07577','2018-04-23 19:56:25','1122',10,'2018-04-23 22:16:53','1323',9,135,28710
'SPB-10352','2018-04-23 19:57:03','1512',16,'2018-04-23 20:12:53','1540',1,15,1650
'SPB-04716','2018-04-23 19:58:26','410',6,'2018-04-23 20:34:12','401',8,35,2130
'SPB-09098','2018-04-23 20:01:24','1035',13,'2018-04-23 20:35:41','1047',8,33,3760
'SPB-12564','2018-04-23 20:02:32','1623',7,'2018-04-23 20:14:43','1608',4,11,1630
'SPB-07728','2018-04-23 20:03:55','1846',1,'2018-04-23 20:06:56','1819',10,2,530
'SPB-08914','2018-04-23 20:06:51','1637',6,'2018-04-23 20:14:58','1625',6,7,760
'SPB-07465','2018-04-23 20:07:34','1531',5,'2018-04-23 20:15:26','1501',8,7,1300
'SPB-12686','2018-04-23 20:08:11','2297',3,'2018-04-23 20:13:24','2233',1,5,920
'SPB-12418','2018-04-23 20:12:34','1233',6,'2018-04-23 22:11:20','1233',6,115,2820
'SPB-11025','2018-04-23 20:13:10','1611',20,'2018-04-23 20:29:59','1602',9,15,2170
'SPB-11601','2018-04-23 20:16:19','516',2,'2018-04-23 20:23:38','540',8,7,1430
'SPB-11881','2018-04-23 20:16:54','356',7,'2018-04-23 20:19:24','345',1,2,470
'SPB-10638','2018-04-23 20:17:39','116',1,'2018-04-23 21:23:15','113',7,65,29010
'SPB-12190','2018-04-23 20:21:50','259',2,'2018-04-23 20:27:15','223',16,5,820
'SPB-01210','2018-04-23 20:22:23','1018',2,'2018-04-23 20:27:24','1215',8,4,990
'SPB-08538','2018-04-23 20:23:29','1659',5,'2018-04-23 20:57:05','606',1,33,8600
'SPB-03410','2018-04-23 20:24:10','222',10,'2018-04-23 20:31:26','222',12,6,930
'SPB-09934','2018-04-23 20:24:18','421',5,'2018-04-23 20:40:55','152',1,16,1730
'SPB-12478','2018-04-23 20:24:35','1131',6,'2018-04-23 20:41:23','1132',1,15,2500
'SPB-07763','2018-04-23 20:28:04','1259',2,'2018-04-23 20:34:07','1213',8,5,800
'SPB-09297','2018-04-23 20:28:49','2127',5,'2018-04-23 20:40:02','2157',8,10,1760
'SPB-11893','2018-04-23 20:29:03','313',5,'2018-04-23 20:38:54','370',8,9,1040
'SPB-07483','2018-04-23 20:29:51','591',2,'2018-04-23 20:36:36','501',15,6,1000
'SPB-08015','2018-04-23 20:30:33','2255',15,'2018-04-23 20:40:01','2263',7,9,1600
'SPB-09050','2018-04-23 20:33:53','1906',20,'2018-04-23 20:50:13','1911',10,15,3010
'SPB-02082','2018-04-23 20:34:30','1210',18,'2018-04-23 21:05:39','2328',5,30,5790
'SPB-12732','2018-04-23 20:35:26','2302',5,'2018-04-23 21:44:12','2306',9,64,7260
'SPB-08564','2018-04-23 20:35:28','576',3,'2018-04-23 20:55:46','1004',1,18,2520
'SPB-05469','2018-04-23 20:38:19','1637',13,'2018-04-23 20:48:33','1620',8,9,1240
'SPB-14978','2018-04-23 20:42:15','549',10,'2018-04-23 20:47:28','3520',3,4,1270
'SPB-08840','2018-04-23 20:42:47','105',2,'2018-04-23 21:08:32','220',27,24,5450
'SPB-12180','2018-04-23 20:43:10','1210',8,'2018-04-23 20:48:43','1211',6,5,900
'SPB-06603','2018-04-23 20:46:08','1447',4,'2018-04-23 20:53:20','1446',10,6,1080
'SPB-11133','2018-04-23 20:46:23','2107',1,'2018-04-23 20:55:29','2102',14,9,1730
'SPB-13080','2018-04-23 20:48:27','3513',1,'2018-04-23 20:51:42','3514',10,3,620
'SPB-12706','2018-04-23 20:52:25','134',5,'2018-04-23 20:54:49','140',6,2,390
'SPB-05455','2018-04-23 20:54:55','175',6,'2018-04-23 21:03:47','179',3,8,2070
'SPB-08260','2018-04-23 20:56:12','237',16,'2018-04-23 21:02:31','2016',3,5,1240
'SPB-05841','2018-04-23 20:58:34','703',3,'2018-04-23 22:19:54','703',9,80,1060
'SPB-00025','2018-04-23 21:00:06','272',8,'2018-04-23 21:10:38','227',1,10,2320
'SPB-04451','2018-04-23 21:02:26','1035',9,'2018-04-23 21:10:48','1016',5,7,1780
'SPB-01001','2018-04-23 21:02:55','1014',7,'2018-04-23 21:17:07','1041',6,13,2110
'SPB-09999','2018-04-23 21:03:54','1227',5,'2018-04-23 21:17:59','1245',2,13,2950
'SPB-09515','2018-04-23 21:04:09','2362',2,'2018-04-23 21:09:49','2301',5,5,820
'SPB-07761','2018-04-23 21:05:17','2102',6,'2018-04-23 21:20:58','2107',1,14,1430
'SPB-02082','2018-04-23 21:05:58','2328',5,'2018-04-23 21:25:19','2239',9,19,3700
'SPB-12839','2018-04-23 21:06:18','1012',12,'2018-04-23 21:21:20','1008',1,14,1850
'SPB-07345','2018-04-23 21:06:52','514',1,'2018-04-23 21:28:41','504',2,20,2890
'SPB-07636','2018-04-23 21:07:02','1001',6,'2018-04-23 21:23:16','1019',3,15,2280
'SPB-11594','2018-04-23 21:07:20','2335',4,'2018-04-23 21:13:22','2368',5,6,1010
'SPB-11789','2018-04-23 21:07:46','118',3,'2018-04-23 21:36:38','257',5,28,4600
'SPB-02358','2018-04-23 21:08:52','1220',6,'2018-04-23 21:13:58','1222',3,4,940
'SPB-12941','2018-04-23 21:09:04','416',11,'2018-04-23 21:16:36','199',2,7,1410
'SPB-10302','2018-04-23 21:09:09','345',4,'2018-04-23 21:13:53','334',2,4,890
'SPB-11119','2018-04-23 21:10:10','1210',29,'2018-04-23 21:25:24','1218',6,14,33680
'SPB-12791','2018-04-23 21:12:02','166',4,'2018-04-23 21:24:52','107',2,13,2610
'SPB-07483','2018-04-23 21:13:07','501',15,'2018-04-23 21:25:29','540',5,12,1720
'SPB-02688','2018-04-23 21:13:36','2303',9,'2018-04-23 21:22:58','2259',8,8,1530
'SPB-00212','2018-04-23 21:14:13','716',4,'2018-04-23 21:19:44','734',2,5,950
'SPB-02615','2018-04-23 21:17:48','3523',3,'2018-04-23 21:24:27','500',10,6,1000
'SPB-07884','2018-04-23 21:18:11','194',9,'2018-04-23 21:34:35','113',1,15,3280
'SPB-09645','2018-04-23 21:18:50','409',19,'2018-04-23 21:25:50','400',1,6,1140
'SPB-12406','2018-04-23 21:19:31','113',8,'2018-04-23 21:30:12','155',6,9,1580
'SPB-04999','2018-04-23 21:20:16','416',8,'2018-04-23 21:31:09','402',9,10,1750
'SPB-11855','2018-04-23 21:20:22','1222',6,'2018-04-23 22:09:47','1251',9,48,3780
'SPB-02824','2018-04-23 21:20:40','2324',1,'2018-04-23 21:34:05','1221',9,13,2350
'SPB-11103','2018-04-23 21:20:49','613',7,'2018-04-23 21:48:06','609',7,27,2970
'SPB-06732','2018-04-23 21:21:24','1222',2,'2018-04-23 21:40:30','515',6,18,3440
'SPB-01853','2018-04-23 21:21:55','3523',5,'2018-04-23 21:26:34','500',7,4,1000
'SPB-10545','2018-04-23 21:22:21','3523',9,'2018-04-23 21:26:30','500',5,3,830
'SPB-04082','2018-04-23 21:22:37','1839',1,'2018-04-23 21:38:56','1819',9,15,2820
'SPB-10465','2018-04-23 21:22:44','2268',10,'2018-04-23 21:34:15','2219',18,11,1980
'SPB-05636','2018-04-23 21:23:08','2242',16,'2018-04-23 21:42:45','2249',1,19,4340
'SPB-07430','2018-04-23 21:24:50','2243',14,'2018-04-23 21:48:52','2337',15,22,4740
'SPB-02980','2018-04-23 21:24:56','1024',9,'2018-04-23 21:36:40','1011',16,11,1830
'SPB-13067','2018-04-23 21:25:01','118',4,'2018-04-23 21:30:24','112',1,5,1070
'SPB-00831','2018-04-23 21:25:24','520',10,'2018-04-23 21:44:34','347',17,18,2240
'SPB-12513','2018-04-23 21:25:36','1929',2,'2018-04-23 21:46:42','708',8,20,2790
'SPB-11714','2018-04-23 21:25:46','1248',2,'2018-04-23 22:17:04','2335',4,49,9780
'SPB-08569','2018-04-23 21:26:45','543',20,'2018-04-23 21:59:25','1014',7,30,6710
'SPB-10256','2018-04-23 21:27:27','1960',7,'2018-04-23 21:30:20','1920',6,2,190
'SPB-09277','2018-04-23 21:27:57','421',8,'2018-04-23 21:45:58','915',2,17,2370
'SPB-12715','2018-04-23 21:28:15','1009',20,'2018-04-23 21:38:34','1019',6,9,1400
'SPB-07486','2018-04-23 21:28:59','339',4,'2018-04-23 21:32:53','359',8,3,590
'SPB-05409','2018-04-23 21:29:19','2305',10,'2018-04-23 21:36:56','2306',1,7,1370
'SPB-05068','2018-04-23 21:30:47','341',8,'2018-04-23 21:37:56','344',8,6,1130
'SPB-12002','2018-04-23 21:32:32','411',3,'2018-04-23 21:35:01','412',20,2,340
'SPB-08477','2018-04-23 21:34:28','812',1,'2018-04-23 21:42:28','819',2,7,740
