종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"329650","KODEX TRF3070","13515","15","0.11","13530.00","13500","13565","13500","42854","579385049","212185500000","0","15700000","FnGuide TRF 3070 지수","1759.54","7.90","0.45"
"329660","KODEX TRF5050","15955","120","0.76","15982.87","15930","16015","15930","34139","544715011","73393000000","0","4600000","FnGuide TRF 5050 지수","2082.04","15.05","0.73"
"329670","KODEX TRF7030","18405","25","0.14","18493.35","18380","18595","18380","38805","714611410","60736500000","0","3300000","FnGuide TRF 7030 지수","2439.37","24.28","1.01"
"395170","KODEX Top10동일가중","7365","90","1.24","7390.97","7350","7385","7350","986","7267945","4419000000","0","600000","FnGuide TOP10 동일가중 지수","1148.88","18.77","1.66"
"315930","KODEX Top5PlusTR","22030","310","1.43","22063.79","22005","22085","21815","11528","253679620","744614000000","0","33800000","FnGuide TOP 5 Plus Total Return 지수","2241.91","36.02","1.63"
"261220","KODEX WTI원유선물(H)","14365","115","0.81","14385.50","14360","14525","14350","149898","2159516952","62128625000","0","4325000","S&P GSCI Crude Oil Index ER","138.97","1.11","0.81"
"271050","KODEX WTI원유선물인버스(H)","4310","-35","-0.81","4301.85","4300","4315","4265","197898","850301427","25860000000","0","6000000","S&P GSCI Crude Oil Index ER","138.97","1.11","0.81"
"468370","KODEX iShares미국인플레이션국채액티브","11380","-50","-0.44","11364.87","11425","11425","11350","17442","198246564","10697200000","0","940000","ICE U.S. Treasury Inflation Linked Bond Index(Total Return)","122.24","0.00","0.00"
"468630","KODEX iShares미국투자등급회사채액티브","11600","-15","-0.13","11576.44","11630","11640","11565","7965","92342935","18676000000","0","1610000","Markit iBoxx USD Liquid Investment Grade Index(Total Return)","323.56","0.00","0.00"
"468380","KODEX iShares미국하이일드액티브","11560","5","0.04","11544.64","11565","11590","11535","106606","1232134210","49939200000","0","4320000","ICE BofAML US HY Constrained Index(Total Return)","574.93","0.00","0.00"
"117700","KODEX 건설","3125","20","0.64","3124.33","3130","3130","3060","251269","779784663","38125000000","0","12200000","KRX 건설","618.76","4.10","0.67"
"300950","KODEX 게임산업","6505","15","0.23","6500.14","6545","6545","6435","69207","447846902","23418000000","0","3600000","FnGuide 게임 산업 지수","791.55","2.67","0.34"
"266390","KODEX 경기소비재","8395","145","1.76","8435.16","8320","8400","8320","895","7481620","4197500000","0","500000","KRX 경기소비재","950.40","17.82","1.91"
"279530","KODEX 고배당","10450","55","0.53","10477.20","10395","10450","10380","41312","430513768","37620000000","0","3600000","FnGuide 고배당 Plus 지수","15723.78","119.55","0.77"
"132030","KODEX 골드선물(H)","17985","5","0.03","17990.42","17980","18005","17950","131216","2358512760","248193000000","0","13800000","S&P GSCI Gold Index(TR)","1485.46","0.00","0.00"
"280940","KODEX 골드선물인버스(H)","5015","25","0.50","5000.73","4995","5015","4990","9895","49426879","3259750000","0","650000","S&P GSCI GOLD Index Excess Return","189.93","-0.22","-0.12"
"138910","KODEX 구리선물(H)","8160","-95","-1.15","8198.10","8165","8195","8135","25238","205980954","12240000000","0","1500000","S&P GSCI North American Copper Index(TR)","699.81","0.00","0.00"
"471230","KODEX 국고채10년액티브","113515","10","0.01","113425.05","113390","113515","113230","18416","2087191960","357231705000","0","3147000","KAP 국고채 10년 지수(TR)","116.57","0.00","0.00"
"439870","KODEX 국고채30년액티브","123490","120","0.10","123503.79","123365","123490","122990","9554","1177963078","551259360000","0","4464000","KAP 국고채 30년 총수익 지수","107.97","0.00","0.00"
"114260","KODEX 국고채3년","62125","-15","-0.02","62115.03","62120","62145","62075","6822","423745165","493396750000","0","7942000","MKF 국고채지수(총수익)","202.36","-0.07","-0.03"
"152380","KODEX 국채선물10년","70505","40","0.06","70500.92","70375","70505","70325","1884","132588660","38918760000","0","552000","10년국채선물지수","1250.32","1.51","0.12"
"176950","KODEX 국채선물10년인버스","53670","40","0.07","53607.46","53675","53690","53670","16","858850","6440400000","0","120000","10년국채선물지수","1250.32","1.51","0.12"
"292770","KODEX 국채선물3년인버스","55195","40","0.07","55229.98","0","0","0","0","0","15233820000","0","276000","국채선물지수","1237.51","-0.39","-0.03"
"276990","KODEX 글로벌로봇(합성)","18500","210","1.15","18534.33","18300","18675","18205","7931","146186541","20997500000","0","1135000","ROBO Global Robotics & Automation UCITS Price Return Index","900.84","0.00","0.00"
"476070","KODEX 글로벌비만치료제TOP2 Plus","10180","-105","-1.02","10304.24","10215","10260","10175","18678","190583713","71260000000","0","7000000","iSelect 글로벌 비만치료제TOP2 Plus 지수(PR)","2754.47","0.24","0.01"
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜","9610","70","0.73","9652.25","9550","9610","9550","177416","1700547292","207576000000","0","21600000","코스피 200 금융 고배당 TOP 10 타겟 분배 위클리 커버드콜 지수","849.73","11.38","1.36"
"102960","KODEX 기계장비","7840","95","1.23","7860.28","7860","7865","7760","6490","50826832","11916800000","0","1520000","KRX 기계장비","843.25","10.02","1.20"
"404260","KODEX 기후변화솔루션","9875","60","0.61","9921.83","9925","9975","9875","97","963070","8887500000","0","900000","KRX 기후변화 솔루션지수","1879.46","18.77","1.01"
"273140","KODEX 단기변동금리부채권액티브","113625","10","0.01","113621.25","113625","113625","113610","943","107148360","227704500000","0","2004000","KAP 단기변동금리부은행채권지수","142.82","0.00","0.00"
"153130","KODEX 단기채권","112615","10","0.01","112622.67","112615","112630","112615","15986","1800337772","702267140000","0","6236000","KRW Cash 지수(총수익)","169.09","0.01","0.01"
"214980","KODEX 단기채권PLUS","113830","5","0.00","113835.44","113830","113840","113830","16293","1854671547","1658616930000","0","14571000","KRW Cash PLUS 지수(총수익)","163.88","0.02","0.01"
"487950","KODEX 대만테크고배당다우존스","9535","-45","-0.47","9595.88","9590","9705","9535","1722","16565890","11442000000","0","1200000","Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR)","2721.05","0.00","0.00"
"122630","KODEX 레버리지","16410","605","3.83","16553.47","16070","16470","16065","17625597","287529605564","2326117500000","0","141750000","코스피 200","348.19","7.39","2.17"
"488770","KODEX 머니마켓액티브","102290","5","0.00","102290.25","102285","102290","102285","308457","31550923953","5385363920000","0","52648000","KAP MMF 지수(TR)","116.78","0.00","0.00"
"321410","KODEX 멀티에셋하이인컴(H)","9785","80","0.82","9865.26","9785","9785","9785","517","5058845","4892500000","0","500000","Morningstar Multi-Asset High Income 10% Capped Index","1016.84","0.00","0.00"
"337120","KODEX 멀티팩터","12630","165","1.32","12672.89","0","0","0","0","0","7578000000","0","600000","FnGuide 멀티팩터 지수","7859.78","133.83","1.73"
"244620","KODEX 모멘텀Plus","12755","150","1.19","12763.83","12685","12760","12675","62","788165","6377500000","0","500000","FnGuide 모멘텀 Plus 지수","4104.08","38.09","0.94"
"308620","KODEX 미국10년국채선물","12065","-80","-0.66","12080.61","12145","12145","12035","53874","652085993","72390000000","0","6000000","S&P 10-Year U.S. Treasury Note Futures KRW(ER)","234.63","-0.66","-0.28"
"484790","KODEX 미국30년국채액티브(H)","9360","5","0.05","9341.76","9375","9385","9345","336939","3152756850","385444800000","0","41180000","KEDI-KAP 미국 국채 20+ 지수(TR)","74.09","0.00","0.00"
"304660","KODEX 미국30년국채울트라선물(H)","7770","-5","-0.06","7773.90","7780","7790","7760","48279","375036184","292929000000","0","37700000","S&P Ultra T-Bond Futures Index(ER)","113.69","0.09","0.08"
"304670","KODEX 미국30년국채울트라선물인버스(H)","11615","-10","-0.09","11616.56","11620","11625","11615","490","5695950","5807500000","0","500000","S&P Ultra T-Bond Futures Index(ER)","113.69","0.09","0.08"
"481060","KODEX 미국30년국채타겟커버드콜(합성 H)","9175","0","0.00","9170.01","9200","9205","9160","519356","4766473046","577107500000","0","62900000","Bloomberg U.S.Treasury 20+ Year(TLT)+ 12% Premium Covered Call index(TR)","902.31","0.00","0.00"
"487230","KODEX 미국AI전력핵심인프라","10925","185","1.72","10976.77","10995","11020","10855","1038238","11332786836","424436250000","0","38850000","iSelect 미국AI전력핵심인프라 지수(Price Return)","4658.62","0.00","0.00"
"485540","KODEX 미국AI테크TOP10","10085","55","0.55","10165.10","10085","10142","10075","461668","4669802008","119507250000","0","11850000","KEDI 미국AI테크 TOP10 지수(PR)","8355.61","0.00","0.00"
"483280","KODEX 미국AI테크TOP10타겟커버드콜","9920","55","0.56","9997.45","9970","9980","9910","281008","2793685414","341248000000","0","34400000","KEDI 미국 AI 테크 TOP10+15%프리미엄 지수(Total Return)","6895.85","0.00","0.00"
"428560","KODEX 미국ETF산업Top10 Indxx","16840","20","0.12","16943.13","16825","16950","16820","5773","97427130","12630000000","0","750000","Indxx US ETF Industry Top10 Index(Price Return)","3877.96","0.00","0.00"
"379800","KODEX 미국S&P500","18555","100","0.54","18700.20","18615","18635","18545","10531718","195687831517","3860367750000","0","208050000","S&P 500","5638.94","0.00","0.00"
"449180","KODEX 미국S&P500(H)","12970","115","0.89","13047.66","12965","12995","12960","819716","10642844782","438386000000","0","33800000","S&P 500","5638.94","0.00","0.00"
"453660","KODEX 미국S&P500경기소비재","15220","-15","-0.10","15452.95","15530","15530","15220","4641","71923312","11415000000","0","750000","S&P Consumer Discretionary Select Sector Index(Price Return)","1983.88","0.00","0.00"
